"","X","original_image_file","Date","Tag","cropped_image_file","det_num","det_confidence","prob1","combination","species1","humanID","HumanAndComputerAgree","species2","prob2","species3","prob3","entropy","classification_precision"
"16",22,"Braatz_images\20-07-10_done\A11\Q7106564.JPG","","","Q7106564_1.jpg",1,0.6348,96.3,61.13124,"Coleoptera","Coleoptera","Yes","Wasp",2.1,"Syrphidae",1.2,0.2008,0.9916
"17",23,"Braatz_images\20-07-10_done\A11\Q7106565.JPG","","","Q7106565_1.jpg",1,0.7741,94.9,73.46209,"Lasioglossum","Bee","Reduced","Andrena",2.2,"Halictus_rubicundus",1.3,0.2732,0.9521
"18",24,"Braatz_images\20-07-10_done\A11\Q7106566.JPG","","","Q7106566_1.jpg",1,0.7719,91.6,70.70604,"Lasioglossum","Bee","Reduced","Halictus_ligatus",6.1,"Halictus",1.1,0.3641,0.9521
"19",25,"Braatz_images\20-07-10_done\A11\Q7106567.JPG","","","Q7106567_1.jpg",1,0.7874,53.4,42.04716,"Lasioglossum","Bee","Reduced","Halictus_rubicundus",39,"Halictus_ligatus",6.6,0.9359,0.9521
"20",27,"Braatz_images\20-07-10_done\A11\Q7106568.JPG","","","Q7106568_1.jpg",1,0.8773,99.8,87.55454,"Apis_mellifera","Apis_mellifera","Yes","Apis_cerana",0.1,"Syrphidae",0,0.0159,0.9707
"21",28,"Braatz_images\20-07-10_done\A11\Q7106569.JPG","","","Q7106569_1.jpg",1,0.8498,97.1,82.51558,"Apis_mellifera","Apis_mellifera","Yes","Apis_cerana",2.2,"Osmia_bicornis",0.2,0.1688,0.9707
"22",30,"Braatz_images\20-07-10_done\A11\Q7106570.JPG","","","Q7106570_1.jpg",1,0.5945,69.9,41.55555,"Coleoptera","Unknown","No","Diptera",11.4,"Apis_cerana",4.4,1.3222,0.9916
"23",31,"Braatz_images\20-07-10_done\A11\Q7106571.JPG","","","Q7106571_1.jpg",1,0.2154,85.1,18.33054,"Meliponini","None","No","Anthidium_oblongatum",5.1,"Habropoda",1.2,0.8339,0.9634
"24",32,"Braatz_images\20-07-10_done\A11\Q7106572.JPG","","","Q7106572_1.jpg",1,0.8305,99.9,82.96695,"Syrphidae","Diptera","Reduced","Diptera",0.1,"Xylocopa_virginica",0,0.0104,0.9836
"25",33,"Braatz_images\20-07-10_done\A11\Q7106573.JPG","","","Q7106573_1.jpg",1,0.8352,100,83.52,"Syrphidae","Diptera","Reduced","Diptera",0,"Xylocopa_virginica",0,0.0038,0.9836
"26",34,"Braatz_images\20-07-10_done\A11\Q7106574.JPG","","","Q7106574_1.jpg",1,0.7796,100,77.96,"Bombus_affinis","Bombus_affinis","Yes","Bombus_melanopygus",0,"Bombus_impatiens",0,1e-04,0.9677
"27",35,"Braatz_images\20-07-10_done\A11\Q7106575.JPG","","","Q7106575_1.jpg",1,0.3018,43.5,13.1283,"Perdita","None","No","Lepidoptera",26.1,"Coleoptera",9,1.8405,0.9145
"28",36,"Braatz_images\20-07-10_done\A11\Q7106576.JPG","","","Q7106576_1.jpg",1,0.6681,26.7,17.83827,"Bombus_affinis","None","No","Bombus_melanopygus",19,"Bombus_rufocinctus",11.4,2.3613,0.9677
"29",38,"Braatz_images\20-07-10_done\A11\Q7106577.JPG","","","Q7106577_1.jpg",1,0.7919,100,79.19,"Bombus_affinis","Bombus_affinis","Yes","Anthophora_bomboides",0,"Bombus_terricola",0,0.0021,0.9677
"30",40,"Braatz_images\20-07-10_done\A11\Q7106578.JPG","","","Q7106578_1.jpg",1,0.6852,87.8,60.16056,"Halictus_tripartitus","Bee","Reduced","Halictus_ligatus",9.2,"Halictus",1.5,0.4605,0.7959
"31",41,"Braatz_images\20-07-10_done\A11\Q7106579.JPG","","","Q7106579_1.jpg",1,0.8775,85.5,75.02625,"Wasp","Wasp","Yes","Hylaeus",12,"Hyleoides",0.7,0.5317,0.9575
"32",42,"Braatz_images\20-07-10_done\A11\Q7106580.JPG","","","Q7106580_1.jpg",1,0.8639,86.9,75.07291,"Wasp","Wasp","Yes","Hylaeus",6.4,"Syrphidae",3.3,0.5965,0.9575
"33",43,"Braatz_images\20-07-10_done\A11\Q7106581.JPG","","","Q7106581_1.jpg",1,0.7489,70.9,53.09701,"Wasp","Wasp","Yes","Syrphidae",26.4,"Nomada",2.1,0.7114,0.9575
"34",45,"Braatz_images\20-07-10_done\A11\Q7106582.JPG","","","Q7106582_1.jpg",1,0.3137,37.1,11.63827,"Xylocopa","Diptera","No","Xylocopa_latipes",11.3,"Xylocopa_micans",6.7,2.6547,0.9092
"35",46,"Braatz_images\20-07-10_done\A11\Q7106583.JPG","","","Q7106583_1.jpg",1,0.6692,44.5,29.7794,"Epeolus","Diptera","No","Syrphidae",23.6,"Brachymelecta",16.5,1.5224,0.9331
"36",48,"Braatz_images\20-07-10_done\A11\Q7106585.JPG","","","Q7106585_1.jpg",1,0.7826,99.6,77.94696,"Bombus_affinis","Bee","Reduced","Bombus_perplexus",0.2,"Bombus_vagans_sandersoni",0.1,0.0292,0.9677
"37",49,"Braatz_images\20-07-10_done\A11\Q7106586.JPG","","","Q7106586_1.jpg",1,0.52,43.7,22.724,"Trachusa","Wasp","Reduced","Ceratina",20.7,"Paranthidium",20.5,1.4518,0.903
"38",50,"Braatz_images\20-07-10_done\A11\Q7106587.JPG","","","Q7106587_1.jpg",1,0.6926,87.8,60.81028,"Hylaeus","Bee","Reduced","Ceratina",3.9,"Wasp",3.1,0.5905,0.9337
"39",52,"Braatz_images\20-07-10_done\A11\Q7106588.JPG","","","Q7106588_1.jpg",1,0.6539,99.5,65.06305,"Coleoptera","Coleoptera","Yes","Wasp",0.3,"Perdita",0.1,0.0364,0.9916
"40",54,"Braatz_images\20-07-10_done\A11\Q7106589.JPG","","","Q7106589_1.jpg",1,0.7629,98.6,75.22194,"Wasp","Wasp","Yes","Syrphidae",0.7,"Nomada",0.6,0.0892,0.9575
"41",55,"Braatz_images\20-07-10_done\A11\Q7106590.JPG","","","Q7106590_1.jpg",1,0.7143,98.2,70.14426,"Apis_mellifera","Apis_mellifera","Yes","Andrena",0.7,"Apis_cerana",0.4,0.1295,0.9707
"42",56,"Braatz_images\20-07-10_done\A11\Q7106591.JPG","","","Q7106591_1.jpg",1,0.5121,66.4,34.00344,"Halictus","Bee","Reduced","Halictus_ligatus",27.9,"Halictus_rubicundus",2.4,0.865,0.8217
"43",57,"Braatz_images\20-07-10_done\A11\Q7106592.JPG","","","Q7106592_1.jpg",1,0.707,46.6,32.9462,"Lasioglossum","Bee","Reduced","Halictus_ligatus",30.3,"Halictus",17.4,1.2658,0.9521
"44",58,"Braatz_images\20-07-10_done\A11\Q7106593.JPG","","","Q7106593_1.jpg",1,0.6466,68.4,44.22744,"Halictus_tripartitus","Bee","Reduced","Lasioglossum",27.9,"Halictus",2.4,0.7696,0.7959
"45",60,"Braatz_images\20-07-10_done\A11\Q7106594.JPG","","","Q7106594_1.jpg",1,0.5421,78.3,42.44643,"Ceratina","Bee","Reduced","Augochlora",13.2,"Lasioglossum",7,0.734,0.9505
"46",63,"Braatz_images\20-07-10_done\A11\Q7106595.JPG","","","Q7106595_1.jpg",1,0.5782,52.2,30.18204,"Meliponini","Bee","Reduced","Chelostoma",26,"Lasioglossum",4.2,1.647,0.9634
"47",65,"Braatz_images\20-07-10_done\A11\Q7106596.JPG","","","Q7106596_1.jpg",1,0.8007,86.4,69.18048,"Wasp","Wasp","Yes","Syrphidae",12.7,"Ceylalictus",0.3,0.4466,0.9575
"48",66,"Braatz_images\20-07-10_done\A11\Q7106597.JPG","","","Q7106597_1.jpg",1,0.7036,99.9,70.28964,"Wasp","Wasp","Yes","Syrphidae",0.1,"Hylaeus",0,0.0121,0.9575
"49",67,"Braatz_images\20-07-10_done\A11\Q7106598.JPG","","","Q7106598_1.jpg",1,0.7781,80.2,62.40362,"Apis_mellifera","Apis_mellifera","Yes","Apis_dorsata",12.2,"Apis_cerana",3.7,0.7218,0.9707
"50",68,"Braatz_images\20-07-10_done\A11\Q7106599.JPG","","","Q7106599_1.jpg",1,0.2819,89.3,25.17367,"Lepidoptera","Polygonia_comma","Increased","Andrena_fulva",4.4,"Xylocopa_augusti",2.6,0.5155,0.9686
"51",69,"Braatz_images\20-07-10_done\A11\Q7106600.JPG","","","Q7106600_1.jpg",1,0.4085,79.1,32.31235,"Apis_cerana","None","No","Agapostemon_splendens",5.6,"Coleoptera",4.5,1.0317,0.9488
"52",73,"Braatz_images\20-07-10_done\A11\Q7106604.JPG","","","Q7106604_1.jpg",1,0.4463,90.5,40.39015,"Lepidoptera","None","No","Xylocopa_aestuans",7.9,"Xylocopa_sonorina",0.7,0.3841,0.9686
"53",74,"Braatz_images\20-07-10_done\A11\Q7106605.JPG","","","Q7106605_1.jpg",1,0.7775,82.3,63.98825,"Diptera","Diptera","Yes","Syrphidae",17.4,"Coleoptera",0.2,0.4825,0.9755
"54",75,"Braatz_images\20-07-10_done\A11\Q7106606.JPG","","","Q7106606_1.jpg",1,0.8083,96.8,78.24344,"Wasp","Wasp","Yes","Nomada",1.1,"Dianthidium",0.7,0.2015,0.9575
"55",76,"Braatz_images\20-07-10_done\A11\Q7106607.JPG","","","Q7106607_1.jpg",1,0.7565,97,73.3805,"Wasp","Wasp","Yes","Nomada",2.9,"Syrphidae",0,0.1396,0.9575
"56",78,"Braatz_images\20-07-10_done\A11\Q7106608.JPG","","","Q7106608_1.jpg",1,0.6075,54.9,33.35175,"Lasioglossum","Bee","Reduced","Hylaeus_leptocephalus",30.1,"Halictus",6,1.2289,0.9521
"57",80,"Braatz_images\20-07-10_done\A11\Q7106609.JPG","","","Q7106609_1.jpg",1,0.7659,97.7,74.82843,"Wasp","Wasp","Yes","Ceratina",1.3,"Syrphidae",0.4,0.1393,0.9575
"58",81,"Braatz_images\20-07-10_done\A11\Q7106682.JPG","","","Q7106682_1.jpg",1,0.7978,77.4,61.74972,"Apis_mellifera","Apis_mellifera","Yes","Apis_cerana",18.9,"Xylocopa",1.9,0.7012,0.9707
"59",82,"Braatz_images\20-07-10_done\A11\Q7106683.JPG","","","Q7106683_1.jpg",1,0.727,100,72.7,"Diptera","Diptera","Yes","Syrphidae",0,"Pseudaugochlora",0,0.001,0.9755
"60",83,"Braatz_images\20-07-10_done\A11\Q7106684.JPG","","","Q7106684_1.jpg",1,0.774,98.4,76.1616,"Diptera","Diptera","Yes","Syrphidae",1.5,"Coleoptera",0,0.0851,0.9755
"61",84,"Braatz_images\20-07-10_done\A11\Q7106685.JPG","","","Q7106685_1.jpg",1,0.6693,93.2,62.37876,"Syrphidae","Unknown","No","Halictus",2,"Wasp",1.8,0.4115,0.9836
"62",86,"Braatz_images\20-07-10_done\A11\Q7106686.JPG","","","Q7106686_1.jpg",1,0.7255,99.1,71.89705,"Syrphidae","Diptera","Reduced","Diptera",0.4,"Coleoptera",0.2,0.0641,0.9836
"63",87,"Braatz_images\20-07-10_done\A11\Q7106687.JPG","","","Q7106687_1.jpg",1,0.6338,99.8,63.25324,"Syrphidae","Diptera","Reduced","Diptera",0.1,"Coleoptera",0,0.0177,0.9836
"64",88,"Braatz_images\20-07-10_done\A11\Q7106688.JPG","","","Q7106688_1.jpg",1,0.6201,86.1,53.39061,"Hylaeus","Unknown","No","Hylaeus_leptocephalus",6.2,"Hylaeus_modestus",3.3,0.6483,0.9337
"65",89,"Braatz_images\20-07-10_done\A11\Q7106689.JPG","","","Q7106689_1.jpg",1,0.253,14.2,3.5926,"Coleoptera","Unknown","No","Bombus_ardens",10.7,"Andrena_milwaukeensis",7.8,3.7171,0.9916
"66",90,"Braatz_images\20-07-10_done\A11\Q7106690.JPG","","","Q7106690_1.jpg",1,0.7265,96,69.744,"Syrphidae","Diptera","Reduced","Diptera",2.2,"Bombus_ardens",0.7,0.2283,0.9836
"67",91,"Braatz_images\20-07-10_done\A11\Q7106691.JPG","","","Q7106691_1.jpg",1,0.6908,98.7,68.18196,"Syrphidae","Diptera","Reduced","Coleoptera",0.5,"Diptera",0.5,0.0865,0.9836
"68",92,"Braatz_images\20-07-10_done\A11\Q7106692.JPG","","","Q7106692_1.jpg",1,0.6987,78.4,54.77808,"Syrphidae","Diptera","Reduced","Coleoptera",10.6,"Diptera",8.9,0.7728,0.9836
"69",94,"Braatz_images\20-07-10_done\A11\Q7106693.JPG","","","Q7106693_1.jpg",1,0.7067,68.5,48.40895,"Syrphidae","Diptera","Reduced","Apis_cerana",10.9,"Halictus",8.4,1.2956,0.9836
"70",96,"Braatz_images\20-07-10_done\A11\Q7106694.JPG","","","Q7106694_1.jpg",1,0.6966,33.5,23.3361,"Syrphidae","Diptera","Reduced","Wasp",27.2,"Hylaeus_modestus",23.7,1.5066,0.9836
"71",97,"Braatz_images\20-07-10_done\A11\Q7106695.JPG","","","Q7106695_1.jpg",1,0.7476,29.5,22.0542,"Hylaeus_modestus","Diptera","No","Meliponini",14.4,"Halictus_rubicundus",14.3,2.4287,0.8886
"72",98,"Braatz_images\20-07-10_done\A11\Q7106696.JPG","","","Q7106696_1.jpg",1,0.8007,90.8,72.70356,"Diptera","Diptera","Yes","Syrphidae",9,"Coleoptera",0.1,0.3155,0.9755
"73",99,"Braatz_images\20-07-10_done\A11\Q7106697.JPG","","","Q7106697_1.jpg",1,0.7691,96.3,74.06433,"Diptera","Diptera","Yes","Syrphidae",3.4,"Coleoptera",0.3,0.169,0.9755
"74",100,"Braatz_images\20-07-10_done\A11\Q7106698.JPG","","","Q7106698_1.jpg",1,0.7041,82.9,58.36989,"Syrphidae","None","No","Diptera",16.5,"Xylocopa_tabaniformis",0.2,0.4987,0.9836
"75",3385,"Braatz_images\2019_07_11_done\11A\P7110001.JPG","","","P7110001_1.jpg",1,0.716,47.5,34.01,"Augochlora","Formicidae","No","Wasp",31.9,"Coleoptera",12.3,1.3876,0.9524
"76",3386,"Braatz_images\2019_07_11_done\11A\P7110002.JPG","","","P7110002_1.jpg",1,0.4958,59.1,29.30178,"Syrphidae","Diptera","Reduced","Meliponini",31.2,"Diptera",9.5,0.9147,0.9836
"77",3387,"Braatz_images\2019_07_11_done\11A\P7110003.JPG","","","P7110003_1.jpg",1,0.7043,74.3,52.32949,"Perdita","Formicidae","No","Wasp",17.6,"Coleoptera",7.3,0.7732,0.9145
"78",3388,"Braatz_images\2019_07_11_done\11A\P7110004.JPG","","","P7110004_1.jpg",1,0.6659,35.5,23.63945,"Wasp","Wasp","Yes","Meliponini",33.9,"Coleoptera",13.2,1.7685,0.9575
"79",3390,"Braatz_images\2019_07_11_done\11A\P7110005.JPG","","","P7110005_1.jpg",1,0.7374,97.2,71.67528,"Coleoptera","Coleoptera","Yes","Syrphidae",0.9,"Lepidoptera",0.5,0.1982,0.9916
"80",3391,"Braatz_images\2019_07_11_done\11A\P7110006.JPG","","","P7110006_1.jpg",1,0.8457,99.5,84.14715,"Coleoptera","Coleoptera","Yes","Diptera",0.3,"Syrphidae",0.1,0.0357,0.9916
"81",3392,"Braatz_images\2019_07_11_done\11A\P7110007.JPG","","","P7110007_1.jpg",1,0.8298,99.9,82.89702,"Coleoptera","Coleoptera","Yes","Syrphidae",0,"Lepidoptera",0,0.0064,0.9916
"82",3393,"Braatz_images\2019_07_11_done\11A\P7110008.JPG","","","P7110008_1.jpg",1,0.8446,100,84.46,"Coleoptera","Coleoptera","Yes","Wasp",0,"Syrphidae",0,0.0025,0.9916
"83",3394,"Braatz_images\2019_07_11_done\11A\P7110009.JPG","","","P7110009_1.jpg",1,0.5187,88.6,45.95682,"Coleoptera","Coleoptera","Yes","Diptera",10.3,"Syrphidae",0.8,0.4055,0.9916
"84",3395,"Braatz_images\2019_07_11_done\11A\P7110010.JPG","","","P7110010_1.jpg",1,0.7194,52.5,37.7685,"Hylaeus","Diptera","No","Coleoptera",33.6,"Pachyprosopis",3.2,1.2787,0.9337
"85",3396,"Braatz_images\2019_07_11_done\11A\P7110011.JPG","","","P7110011_1.jpg",1,0.699,98.3,68.7117,"Wasp","Diptera","No","Syrphidae",0.6,"Hylaeus",0.6,0.1081,0.9575
"86",3398,"Braatz_images\2019_07_11_done\11A\P7110013.JPG","","","P7110013_1.jpg",1,0.7573,70.8,53.61684,"Lasioglossum","Bee","Reduced","Halictus",20.5,"Halictus_tripartitus",6.8,0.8626,0.9521
"87",3400,"Braatz_images\2019_07_11_done\11A\P7110014.JPG","","","P7110014_1.jpg",1,0.6945,94.4,65.5608,"Wasp","Formicidae","No","Coleoptera",3.4,"Perdita",1.7,0.2741,0.9575
"88",3403,"Braatz_images\2019_07_11_done\11A\P7110016.JPG","","","P7110016_1.jpg",1,0.6932,99.3,68.83476,"Diptera","Diptera","Yes","Syrphidae",0.7,"Coleoptera",0,0.0433,0.9755
"89",3404,"Braatz_images\2019_07_11_done\11A\P7110017.JPG","","","P7110017_1.jpg",1,0.6319,99.2,62.68448,"Diptera","Diptera","Yes","Syrphidae",0.4,"Coleoptera",0.3,0.0517,0.9755
"90",3406,"Braatz_images\2019_07_11_done\11A\P7110019.JPG","","","P7110019_1.jpg",1,0.6811,97.7,66.54347,"Coleoptera","Coleoptera","Yes","Syrphidae",0.8,"Lepidoptera",0.7,0.1449,0.9916
"91",3409,"Braatz_images\2019_07_11_done\11A\P7110047.JPG","","","P7110047_1.jpg",1,0.4485,28.1,12.60285,"Agapostemon_splendens","Formicidae","No","Coleoptera",26.1,"Augochlorella",5.9,2.6501,0.9058
"92",3412,"Braatz_images\2019_07_11_done\4A\P7110040.JPG","","","P7110040_1.jpg",1,0.4082,60.4,24.65528,"Xylocopa_micans","None","No","Xylocopa_caffra",15.9,"Xylocopa",13.7,1.32,0.904
"93",3416,"Braatz_images\2019_07_11_done\4A\P7110044.JPG","","","P7110044_1.jpg",1,0.5036,85.7,43.15852,"Wasp","Formicidae","No","Syrphidae",5.9,"Hylaeus",2.3,0.6761,0.9575
"94",3418,"Braatz_images\2019_07_11_done\4A\P7110045.JPG","","","P7110045_1.jpg",1,0.6125,32.3,19.78375,"Perdita","None","No","Meliponini",26.7,"Wasp",24.4,1.6485,0.9145
"95",3421,"Braatz_images\2019_07_11_done\5A\P7110024.JPG","","","P7110024_1.jpg",1,0.4509,40.6,18.30654,"Xylocopa_micans","None","No","Ceylalictus",18.1,"Coleoptera",7.6,2.1994,0.904
"96",3422,"Braatz_images\2019_07_11_done\5A\P7110025.JPG","","","P7110025_1.jpg",1,0.536,72.6,38.9136,"Wasp","Formicidae","No","Coleoptera",20.5,"Perdita",2.3,0.8718,0.9575
"97",3423,"Braatz_images\2019_07_11_done\5A\P7110026.JPG","","","P7110026_1.jpg",1,0.8858,99.6,88.22568,"Coleoptera","Coleoptera","Yes","Wasp",0.4,"Sphecodes",0,0.0296,0.9916
"98",3424,"Braatz_images\2019_07_11_done\5A\P7110027.JPG","","","P7110027_1.jpg",1,0.4488,12.5,5.61,"Augochlora","Bee","Reduced","Meliponini",12,"Hylaeus",7.8,3.6295,0.9524
"99",3425,"Braatz_images\2019_07_11_done\5A\P7110029.JPG","","","P7110029_1.jpg",1,0.6479,69.9,45.28821,"Coleoptera","None","No","Wasp",23.2,"Augochlora",3.9,0.8825,0.9916
"100",3426,"Braatz_images\2019_07_11_done\5A\P7110034.JPG","","","P7110034_1.jpg",1,0.5874,99.9,58.68126,"Diptera","Diptera","Yes","Syrphidae",0.1,"Coleoptera",0,0.0104,0.9755
"101",3429,"Braatz_images\2019_07_11_done\5A\P7110037.JPG","","","P7110037_1.jpg",1,0.6066,78.9,47.86074,"Coleoptera","Formicidae","No","Wasp",15.5,"Syrphidae",1.8,0.739,0.9916
"102",3430,"Braatz_images\2019_07_11_done\5A\P7110038.JPG","","","P7110038_1.jpg",1,0.7085,55.4,39.2509,"Coleoptera","Formicidae","No","Wasp",27.6,"Hylaeus",9.7,1.2084,0.9916
"103",3431,"Braatz_images\2019_07_11_done\5A\P7110039.JPG","","","P7110039_1.jpg",1,0.327,17.1,5.5917,"Xylocopa_micans","None","No","Xylocopa",15.8,"Xylocopa_latipes",11.6,3.1087,0.904
"104",3432,"Braatz_images\2019_07_11_done\9A\P7110030.JPG","","","P7110030_1.jpg",1,0.4675,19.5,9.11625,"Xylocopa_latipes","None","No","Lepidoptera",17.1,"Coleoptera",7,3.1449,0.8312
"105",3434,"Braatz_images\2019_07_11_done\9A\P7110032.JPG","","","P7110032_1.jpg",1,0.215,70.6,15.179,"Lepidoptera","None","No","Xylocopa_micans",5.1,"Xylocopa_latipes",4,1.4868,0.9686
"106",3435,"Braatz_images\2019_07_11_done\9A\P7110033.JPG","","","P7110033_1.jpg",1,0.4892,68.9,33.70588,"Lepidoptera","Odonata","No","Diptera",20.5,"Syrphidae",9.9,0.8538,0.9686
"107",3436,"Braatz_images\2019_07_12_done\11A\P7120086.JPG","","","P7120086_1.jpg",1,0.705,79.8,56.259,"Apis_mellifera","Apis_mellifera","Yes","Apis_cerana",19.7,"Apis_florea",0.1,0.5362,0.9707
"108",3438,"Braatz_images\2019_07_12_done\11A\P7120087.JPG","","","P7120087_1.jpg",1,0.7235,83.1,60.12285,"Apis_mellifera","Apis_mellifera","Yes","Apis_cerana",15.4,"Apis_florea",1,0.5308,0.9707
"109",3440,"Braatz_images\2019_07_12_done\11A\P7120088.JPG","","","P7120088_1.jpg",1,0.546,99.7,54.4362,"Apis_mellifera","Apis_mellifera","Yes","Xylocopa_micans",0,"Anthophora_urbana",0,0.0262,0.9707
"110",3441,"Braatz_images\2019_07_12_done\11A\P7120089.JPG","","","P7120089_1.jpg",1,0.7257,100,72.57,"Apis_mellifera","Apis_mellifera","Yes","Syrphidae",0,"Apis_florea",0,0.0048,0.9707
"111",3442,"Braatz_images\2019_07_12_done\11A\P7120090.JPG","","","P7120090_1.jpg",1,0.8056,99.3,79.99608,"Apis_mellifera","Apis_mellifera","Yes","Apis_cerana",0.3,"Augochloropsis",0.1,0.0649,0.9707
"112",3443,"Braatz_images\2019_07_12_done\11A\P7120091.JPG","","","P7120091_1.jpg",1,0.7997,99.9,79.89003,"Apis_mellifera","Apis_mellifera","Yes","Apis_cerana",0,"Bombus_rufocinctus",0,0.0124,0.9707
"113",3444,"Braatz_images\2019_07_12_done\11A\P7120092.JPG","","","P7120092_1.jpg",1,0.2663,65.5,17.44265,"Halictus_tripartitus","Bee","Reduced","Apis_florea",17.6,"Lasioglossum",6.5,1.181,0.7959
"114",3445,"Braatz_images\2019_07_12_done\11A\P7120093.JPG","","","P7120093_1.jpg",1,0.7496,30.5,22.8628,"Chelostoma","Bee","Reduced","Halictus",27,"Halictus_rubicundus",16.6,1.7665,0.9093
"115",3447,"Braatz_images\2019_07_12_done\11A\P7120094.JPG","","","P7120094_1.jpg",1,0.7672,85.7,65.74904,"Halictus_rubicundus","Bee","Reduced","Halictus_ligatus",12.2,"Lasioglossum",1.4,0.4867,0.8679
"116",3448,"Braatz_images\2019_07_12_done\11A\P7120095.JPG","","","P7120095_1.jpg",1,0.7486,89,66.6254,"Panurginus","Bee","Reduced","Lasioglossum",10.1,"Andrena",0.4,0.3884,0.7857
"117",3449,"Braatz_images\2019_07_12_done\11A\P7120097.JPG","","","P7120097_1.jpg",1,0.7531,91.2,68.68272,"Coleoptera","None","No","Syrphidae",2.8,"Meliponini",2.4,0.4644,0.9916
"118",3450,"Braatz_images\2019_07_12_done\11A\P7120098.JPG","","","P7120098_1.jpg",1,0.7014,85.8,60.18012,"Coleoptera","None","No","Megachile",11,"Halictus",1.2,0.5533,0.9916
"119",3455,"Braatz_images\2019_07_12_done\11A\P7120101.JPG","","","P7120101_1.jpg",1,0.5099,39.2,19.98808,"Hylaeus_leptocephalus","Bee","Reduced","Meliponini",11.7,"Ceratina",11.7,1.8627,0.844
"120",3457,"Braatz_images\2019_07_12_done\11A\P7120102.JPG","","","P7120102_1.jpg",1,0.6478,35.4,22.93212,"Lasioglossum","Bee","Reduced","Andrena",34.8,"Colletes",7.4,1.668,0.9521
"121",3461,"Braatz_images\2019_07_12_done\11A\P7120103.JPG","","","P7120103_1.jpg",1,0.6406,90.7,58.10242,"Halictus_tripartitus","Bee","Reduced","Halictus_ligatus",6.1,"Apis_florea",1.1,0.4201,0.7959
